Time (ms),Device,Android Version,AP MAC Address,Status,Distance (mm),Std Dev (mm),Attempted Measurements,Successful Measurements,Real Distance (mm)
11156,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3957,392,8,7,2000
11672,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4375,815,8,7,2000
12172,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4116,591,8,7,2000
12680,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4248,745,8,7,2000
13185,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4118,727,8,7,2000
13696,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4123,606,8,7,2000
14200,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4182,654,8,7,2000
14714,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4482,695,8,7,2000
15216,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4599,646,8,7,2000
15728,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4343,611,8,7,2000
16229,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4402,734,8,7,2000
16739,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4028,661,8,7,2000
17248,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4343,687,8,7,2000
17753,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4475,628,8,7,2000
18259,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4382,670,8,7,2000
18774,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4021,720,8,7,2000
19283,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4189,694,8,7,2000
19793,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4240,748,8,7,2000
20299,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4079,667,8,7,2000
20808,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4006,545,8,7,2000
21315,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4394,833,8,7,2000
21827,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4014,606,8,7,2000
22337,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4409,601,8,7,2000
22842,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4233,705,8,7,2000
23357,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,4397,636,8,7,2000
