Time (ms),Device,Android Version,AP MAC Address,Status,Distance (mm),Std Dev (mm),Attempted Measurements,Successful Measurements,Real Distance (mm),Orientation
7430,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1675,29,8,5,500,2
7490,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2768,868,8,7,500,2
7552,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2768,324,8,7,500,2
7618,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2085,205,8,7,500,2
7679,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1850,23,8,7,500,2
7740,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2739,936,8,7,500,2
7856,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3266,135,8,7,500,2
7916,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3676,0,8,7,500,2
7976,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3654,450,8,7,500,2
8037,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3423,289,8,7,500,2
8101,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1860,108,8,7,500,2
8164,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3052,63,8,7,500,2
8232,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2651,41,8,7,500,2
8300,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,4194,60,8,7,500,2
8382,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3176,635,8,7,500,2
8511,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3286,1054,8,7,500,2
8629,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3208,1153,8,7,500,2
8747,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3135,190,8,7,500,2
8860,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3325,732,8,7,500,2
8982,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2309,226,8,7,500,2
9097,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3628,170,8,7,500,2
9217,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3081,796,8,7,500,2
9335,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2212,206,8,7,500,2
9447,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2768,205,8,7,500,2
9566,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1831,33,8,7,500,2
9682,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3271,161,8,7,500,2
9803,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2046,121,8,7,500,2
9933,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2153,214,8,7,500,2
10048,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,3247,194,8,7,500,2
10162,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1977,110,8,7,500,2
10286,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2719,109,8,7,500,2
10396,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2788,237,8,7,500,2
